Indicator Name,Indicator Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Jordan,JOR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kazakhstan,KAZ,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kenya,KEN,33,63,69,,22,27,51,61.9999865762166,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kiribati,KIR,45,58,62,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Korea, Dem. Rep.",PRK,95,95,95,,95,98,99,99.4131689528436,100,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Korea, Rep.",KOR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kosovo,KSV,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kuwait,KWT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Kyrgyz Republic,KGZ,,95,88,47,95,99,99,97.353761915989,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Lao PDR,LAO,64,48,63,,83,,88,83.1162360514161,92,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Latvia,LVA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Lebanon,LBN,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Lesotho,LSO,75,71,9,,85,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Liberia,LBR,,95,95,,85,,92,96.7415724969866,96,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Libya,LBY,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Liechtenstein,LIE,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Lithuania,LTU,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Luxembourg,LUX,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Macao SAR, China",MAC,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Macedonia, FYR",MKD,95,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Madagascar,MDG,91,89,95,,95,97,95,95,91,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Malawi,MWI,92,57,94,,90,95,95,95.8486358351961,96,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Malaysia,MYS,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Maldives,MDV,,,,,62,,52,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mali,MLI,61,97,66,,95,97,100,99.2641788636087,96,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Malta,MLT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Marshall Islands,MHL,23,24,6,,39,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mauritania,MRT,,95,96,,95,87,89,97.2227072864938,100,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mauritius,MUS,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mexico,MEX,,,68,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Micronesia, Fed. Sts.",FSM,,74,89,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Moldova,MDA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Monaco,MCO,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mongolia,MNG,87,93,92,,95,,,61,85,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Montenegro,MNE,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Morocco,MAR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Mozambique,MOZ,50,26,95,,48,83,97,100,100,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Myanmar,MMR,87,96,95,,94,94,95,94.4707529193811,96,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Namibia,NAM,93,,68,,,,,13,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Nepal,NPL,96,97,96,,95,93,95,91.2514025611674,91,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Netherlands,NLD,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,New Caledonia,NCL,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,New Zealand,NZL,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Nicaragua,NIC,91,98,98,,95,,6,6.92894614451444,2,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Niger,NER,95,,94,,95,92,95,98.1984883542473,95,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Nigeria,NGA,27,85,73,,74,74,78,91.4792062440746,73,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Northern Mariana Islands,MNP,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Norway,NOR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Oman,OMN,,95,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Pakistan,PAK,95,95,95,,95,97,91,87,90,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Palau,PLW,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Panama,PAN,,,4,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Papua New Guinea,PNG,1,32,90,,7,,12,14,12,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Paraguay,PRY,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Peru,PER,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Philippines,PHL,76,85,85,,83,86,91,,91,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Poland,POL,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Portugal,PRT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Puerto Rico,PRI,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Qatar,QAT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Romania,ROM,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Russian Federation,RUS,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Rwanda,RWA,86,95,100,,89,,94,92,76,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Samoa,WSM,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,San Marino,SMR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sao Tome and Principe,STP,,76,33,,55,23,37,41.2010608171888,44,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Saudi Arabia,SAU,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Senegal,SEN,,95,95,,94,90,97,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Serbia,SRB,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Seychelles,SYC,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sierra Leone,SLE,84,95,95,,95,12,99,100,99,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Singapore,SGP,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sint Maarten (Dutch part),SXM,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Slovak Republic,SVK,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Slovenia,SVN,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Solomon Islands,SLB,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Somalia,SOM,,6,,,89,100,62,,12,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,South Africa,ZAF,,37,33,,,39,,,44,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,South Sudan,SSD,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Spain,ESP,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sri Lanka,LKA,,57,64,,,,,84.8240248591589,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,St. Kitts and Nevis,KNA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,St. Lucia,LCA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,St. Martin (French part),MAF,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,St. Vincent and the Grenadines,VCT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sudan,SDN,34,70,90,76.4,90,67,84,82.2263450455054,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Suriname,SUR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Swaziland,SWZ,80,86,59,,,44,27,38,41,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Sweden,SWE,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Switzerland,CHE,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Syrian Arab Republic,SYR,,,,,,,,33,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Tajikistan,TJK,,98,98,,92,87,87,94.9499327033521,99,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Tanzania,TZA,91,94,95,,93,93,94,98.5263387608545,97,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Thailand,THA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Timor-Leste,TMP,95,43,91,,57,,45,47.9135731215994,59,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Togo,TGO,84,95,95,,95,64,100,100,22,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Tonga,TON,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Trinidad and Tobago,TTO,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Tunisia,TUN,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Turkey,TUR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Turkmenistan,TKM,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Turks and Caicos Islands,TCA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Tuvalu,TUV,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Uganda,UGA,,68,78,,64,67,64,,60,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Ukraine,UKR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,United Arab Emirates,ARE,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,United Kingdom,GBR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,United States,USA,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Uruguay,URY,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Uzbekistan,UZB,93,86,82,72,84,38,65,94.2695360607545,95,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Vanuatu,VUT,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Venezuela, RB",VEN,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Vietnam,VNM,99,95,99,,95,98,99,95.3916673784915,99,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Virgin Islands (U.S.),VIR,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,West Bank and Gaza,WBG,,,,,,,,,,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,"Yemen, Rep.",YEM,36,20,15,,47,,,,9,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Zambia,ZMB,73,50,66,,95,96,91,92,72,
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,Zimbabwe,ZWE,46,20,81,,83,20,77,49.3000155150094,56,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Afghanistan,AFG,152.6778,144.1816,135.6854,127.1892,118.693,114.8646,111.0362,107.2078,103.3794,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Albania,ALB,17.4536,17.5542,17.6548,17.7554,17.856,17.2674,16.6788,16.0902,15.5016,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Algeria,DZA,8.299,8.059,7.819,7.579,7.339,7.0876,6.8362,6.5848,6.3334,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,American Samoa,ASM,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Andorra,ADO,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Angola,AGO,194.9814,189.0118,183.0422,177.0726,171.103,166.5034,161.9038,157.3042,152.7046,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Antigua and Barbuda,ATG,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,59.9408,59.1806,58.4204,57.6602,56.9,56.3564,55.8128,55.2692,54.7256,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Armenia,ARM,37.458,37.02,36.582,36.144,35.706,35.2076,34.7092,34.2108,33.7124,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Aruba,ABW,39.5738,38.0286,36.4834,34.9382,33.393,32.0066,30.6202,29.2338,27.8474,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,16.6768,16.6296,16.5824,16.5352,16.488,15.6934,14.8988,14.1042,13.3096,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Austria,AUT,13.3646,13.2182,13.0718,12.9254,12.779,12.1716,11.5642,10.9568,10.3494,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Azerbaijan,AZE,33.6498,33.6996,33.7494,33.7992,33.849,33.3522,32.8554,32.3586,31.8618,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Bahamas, The",BHS,41.5496,39.1082,36.6668,34.2254,31.784,31.086,30.388,29.69,28.992,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bahrain,BHR,15.515,15.365,15.215,15.065,14.915,14.8972,14.8794,14.8616,14.8438,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bangladesh,BGD,100.49,95.101,89.712,84.323,78.934,76.7948,74.6556,72.5164,70.3772,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Barbados,BRB,42.1982,42.3004,42.4026,42.5048,42.607,42.243,41.879,41.515,41.151,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belarus,BLR,23.5614,23.2078,22.8542,22.5006,22.147,21.8236,21.5002,21.1768,20.8534,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belgium,BEL,15.7504,15.3538,14.9572,14.5606,14.164,13.5768,12.9896,12.4024,11.8152,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Belize,BLZ,88.693,86.199,83.705,81.211,78.717,77.13,75.543,73.956,72.369,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Benin,BEN,116.2782,115.1424,114.0066,112.8708,111.735,108.7868,105.8386,102.8904,99.9422,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bermuda,BMU,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bhutan,BTN,56.6608,55.0346,53.4084,51.7822,50.156,49.103,48.05,46.997,45.944,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bolivia,BOL,83.1618,81.9206,80.6794,79.4382,78.197,77.5032,76.8094,76.1156,75.4218,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bosnia and Herzegovina,BIH,17.8212,17.4724,17.1236,16.7748,16.426,15.8262,15.2264,14.6266,14.0268,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Botswana,BWA,59.4232,57.5994,55.7756,53.9518,52.128,50.4628,48.7976,47.1324,45.4672,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brazil,BRA,83.921,81.841,79.761,77.681,75.601,75.6712,75.7414,75.8116,75.8818,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Brunei Darussalam,BRN,25.9886,25.7582,25.5278,25.2974,25.067,24.6012,24.1354,23.6696,23.2038,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Bulgaria,BGR,44.3806,43.9892,43.5978,43.2064,42.815,41.4976,40.1802,38.8628,37.5454,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burkina Faso,BFA,129.2684,128.1578,127.0472,125.9366,124.826,123.3446,121.8632,120.3818,118.9004,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Burundi,BDI,26.9048,24.8386,22.7724,20.7062,18.64,19.0926,19.5452,19.9978,20.4504,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cambodia,KHM,44.67,43.945,43.22,42.495,41.77,39.9934,38.2168,36.4402,34.6636,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cameroon,CMR,134.515,132.829,131.143,129.457,127.771,125.245,122.719,120.193,117.667,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Canada,CAN,14.7728,14.5676,14.3624,14.1572,13.952,13.4138,12.8756,12.3374,11.7992,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cape Verde,CPV,92.0334,89.4168,86.8002,84.1836,81.567,79.091,76.615,74.139,71.663,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cayman Islands,CYM,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Central African Republic,CAF,119.3534,116.1708,112.9882,109.8056,106.623,105.024,103.425,101.826,100.227,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chad,TCD,184.5792,179.5714,174.5636,169.5558,164.548,159.2674,153.9868,148.7062,143.4256,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Channel Islands,CHI,11.4848,11.0916,10.6984,10.3052,9.912,9.605,9.298,8.991,8.684,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Chile,CHL,60.93,60.26,59.59,58.92,58.25,57.7972,57.3444,56.8916,56.4388,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,China,CHN,8.2492,8.2944,8.3396,8.3848,8.43,8.563,8.696,8.829,8.962,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Colombia,COL,91.4214,87.1408,82.8602,78.5796,74.299,73.0688,71.8386,70.6084,69.3782,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Comoros,COM,62.478,61.362,60.246,59.13,58.014,56.6344,55.2548,53.8752,52.4956,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Dem. Rep.",ZAR,224.7492,218.9154,213.0816,207.2478,201.414,195.2492,189.0844,182.9196,176.7548,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Congo, Rep.",COG,128.1102,125.7554,123.4006,121.0458,118.691,117.4684,116.2458,115.0232,113.8006,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Costa Rica,CRI,74.2586,72.1022,69.9458,67.7894,65.633,64.8952,64.1574,63.4196,62.6818,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cote d'Ivoire,CIV,133.7674,132.6688,131.5702,130.4716,129.373,124.6368,119.9006,115.1644,110.4282,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Croatia,HRV,14.1764,13.9978,13.8192,13.6406,13.462,13.3278,13.1936,13.0594,12.9252,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cuba,CUB,49.2824,48.2658,47.2492,46.2326,45.216,44.9588,44.7016,44.4444,44.1872,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Curacao,CUW,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Cyprus,CYP,7.0912,6.9564,6.8216,6.6868,6.552,6.3324,6.1128,5.8932,5.6736,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Czech Republic,CZE,11.3022,11.2544,11.2066,11.1588,11.111,10.7258,10.3406,9.9554,9.5702,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Denmark,DNK,6.485,6.352,6.219,6.086,5.953,5.7876,5.6222,5.4568,5.2914,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Djibouti,DJI,27.6398,26.4586,25.2774,24.0962,22.915,22.2368,21.5586,20.8804,20.2022,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominica,DMA,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Dominican Republic,DOM,109.4202,109.2404,109.0606,108.8808,108.701,107.6842,106.6674,105.6506,104.6338,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ecuador,ECU,84.1608,83.8206,83.4804,83.1402,82.8,82.3516,81.9032,81.4548,81.0064,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"Egypt, Arab Rep.",EGY,51.302,50.12,48.938,47.756,46.574,45.388,44.202,43.016,41.83,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,El Salvador,SLV,90.0606,88.2202,86.3798,84.5394,82.699,81.3902,80.0814,78.7726,77.4638,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Equatorial Guinea,GNQ,127.5878,126.4036,125.2194,124.0352,122.851,121.2088,119.5666,117.9244,116.2822,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Eritrea,ERI,79.8828,76.5496,73.2164,69.8832,66.55,63.9822,61.4144,58.8466,56.2788,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Estonia,EST,22.3764,22.4688,22.5612,22.6536,22.746,21.6344,20.5228,19.4112,18.2996,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ethiopia,ETH,92.2536,87.2912,82.3288,77.3664,72.404,67.5732,62.7424,57.9116,53.0808,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Faeroe Islands,FRO,,,,,,,,,,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Fiji,FJI,42.2478,42.9966,43.7454,44.4942,45.243,44.7522,44.2614,43.7706,43.2798,
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Finland,FIN,12.3606,11.6012,10.8418,10.0824,9.323,9.3258,9.3286,9.3314,9.3342,
